Pcpt,Trial,Objective,Gesture,P,C,M,&,Case_Num,Time_start,Time_end,Duration,Moved_pins_raw,Moved_pins
3,2,pick_up,Flexion,2,1,1,211,13,6207,6867,660,12.607,12.539
3,2,recovery,Extension,1,1,1,111,1,6867,7857,990,9.346,9.463
3,2,pick_up,Flexion,1,1,1,111,1,7857,9111,1254,12.457,12.398
3,2,mode_1_2,Grasp,1,1,1,111,1,9111,9573,462,10.999,11.022
3,2,rotation,Extension,1,1,1,111,1,9573,10200,627,9.309,9.428
3,2,h_v,move_the_arm,1,1,1,111,1,9969,11454,1485,9.456,9.567
3,2,mode_2_1,Grasp,1,1,1,111,1,11454,11784,330,12.81,12.731
3,2,drop_off,Extension,1,1,1,111,1,11784,12576,792,10.375,10.433
3,2,v_h,move_the_arm,1,1,1,111,1,12576,13203,627,13.454,13.338
3,2,rotation,Extension,1,2,1,121,5,13203,13566,363,11.5,11.495
3,2,mode_1_2,Grasp,1,1,1,111,1,13566,13764,198,9.607,9.71
3,2,rotation,Extension,1,1,1,111,1,13764,14226,462,9.976,10.058
3,2,rotation,Extension,1,1,2,112,2,14226,15579,1353,10.403,10.461
3,2,mode_2_1,Grasp,1,1,1,111,1,15579,15909,330,13.08,12.984
3,2,pick_up,Flexion,1,1,2,112,2,15909,16503,594,12.086,12.047
3,2,pick_up,Flexion,1,1,1,111,1,16503,17691,1188,15.551,15.315
3,2,h_v,move_the_arm,1,1,1,111,1,17691,20793,3102,11.731,11.712
3,2,mode_1_2,Grasp,1,1,1,111,1,18351,18615,264,10.102,10.176
3,2,rotation,Extension,1,1,2,112,2,18615,18879,264,10.199,10.267
3,2,rotation,Extension,1,1,1,111,1,18879,19605,726,11.08,11.098
3,2,mode_2_1,Grasp,1,1,1,111,1,19605,21123,1518,12.152,12.11
3,2,drop_off,Extension,1,1,1,111,1,21123,21717,594,13.232,13.128
3,2,v_h,move_the_arm,1,1,1,111,1,21717,26502,4785,12.524,12.46
3,2,mode_1_2,Grasp,1,1,1,111,1,22278,22443,165,11.906,11.878
3,2,rotation,Flexion,1,2,4,124,8,22443,22905,462,14.149,13.993
3,2,wait,no_gesture,1,1,1,111,1,22905,23466,561,11.268,11.276
3,2,mode_1_2,Grasp,1,1,1,111,1,23466,23895,429,13.02,12.928
3,2,rotation,Extension,1,1,1,111,1,23895,24291,396,9.138,9.267
3,2,rotation,Extension,1,1,2,112,2,24291,25908,1617,10.873,10.903
3,2,mode_2_1,Grasp,1,1,1,111,1,25908,26502,594,13.509,13.389
3,2,pick_up,Flexion,1,1,1,111,1,26502,27690,1188,13.249,13.144
3,2,h_v,move_the_arm,1,1,1,111,1,27690,29637,1947,14.425,14.253
3,2,mode_1_2,Grasp,1,1,1,111,1,27690,28317,627,11.22,11.231
3,2,rotation,Extension,1,1,1,111,1,28317,28878,561,10.597,10.643
3,2,h_v,move_the_arm,1,3,2,132,10,28878,29637,759,11.878,11.851
3,2,recovery,Flexion,1,1,2,112,2,29637,30198,561,14.496,14.32
3,2,recovery,Flexion,1,1,1,111,1,30198,30957,759,12.704,12.63
3,2,mode_2_1,Grasp,1,1,1,111,1,31584,31881,297,8.675,8.83
3,2,drop_off,Extension,1,1,1,111,1,31881,32673,792,14.506,14.329
3,3,pick_up,Flexion,1,1,1,111,1,7635,8526,891,10.074,10.15
3,3,h_v,move_the_arm,1,1,1,111,1,8526,10737,2211,8.377,8.55
3,3,mode_1_2,Grasp,1,1,1,111,1,9153,9450,297,11.656,11.642
3,3,rotation,Extension,1,1,1,111,1,9450,10737,1287,9.959,10.041
3,3,mode_2_1,Grasp,1,1,1,111,1,10737,11991,1254,11.398,11.398
3,3,drop_off,Extension,1,1,1,111,1,11991,12552,561,11.369,11.372
3,3,v_h,move_the_arm,1,1,1,111,1,12552,12783,231,11.218,11.228
3,3,mode_1_2,Grasp,1,1,1,111,1,12783,13080,297,11.121,11.138
3,3,rotation,Flexion,1,1,2,112,2,13080,13773,693,10.823,10.856
3,3,rotation,Extension,1,1,1,111,1,13773,14169,396,11.342,11.346
3,3,rotation,Extension,1,1,2,112,2,14169,15489,1320,11.219,11.23
3,3,h_v,move_the_arm,1,1,1,111,1,15489,16017,528,14.475,14.3
3,3,pick_up,Flexion,1,1,1,111,1,16017,16974,957,9.363,9.48
3,3,h_v,move_the_arm,1,1,1,111,1,16974,17238,264,11.146,11.161
3,3,mode_1_2,Grasp,1,1,1,111,1,17238,17436,198,7.056,7.304
3,3,h_v,move_the_arm,1,1,1,111,1,17436,19515,2079,11.164,11.178
3,3,rotation,Extension,1,1,1,111,1,17436,18426,990,11.915,11.886
3,3,mode_2_1,Grasp,1,1,1,111,1,18426,19944,1518,10.12,10.193
3,3,drop_off,Extension,1,1,1,111,1,19944,20439,495,9.96,10.043
3,3,v_h,move_the_arm,1,1,1,111,1,20439,20769,330,10.006,10.086
3,3,rotation,Flexion,1,2,2,122,6,20769,21066,297,12.242,12.194
3,3,rotation,Flexion,1,2,2,122,6,21066,21693,627,9.985,10.066
3,3,mode_1_2,Grasp,1,1,1,111,1,21693,22287,594,11.121,11.138
3,3,rotation,Flexion,1,1,2,112,2,22287,22485,198,9.603,9.706
3,3,rotation,Extension,1,1,1,111,1,22485,23145,660,10.714,10.753
3,3,rotation,Extension,1,1,2,112,2,23145,24531,1386,9.454,9.565
3,3,v_h,move_the_arm,1,1,1,111,1,24531,24762,231,12.749,12.673
3,3,pick_up,Flexion,1,1,1,111,1,24762,25686,924,12.211,12.165
3,3,h_v,move_the_arm,1,1,1,111,1,25686,26280,594,10.146,10.218
3,3,mode_1_2,Grasp,1,1,1,111,1,26280,26478,198,11.351,11.354
3,3,rotation,Extension,1,1,1,111,1,26478,27138,660,9.799,9.89
3,3,h_v,move_the_arm,1,1,1,111,1,26907,27633,726,11.84,11.815
3,3,rotation,Extension,1,3,2,132,10,27633,28029,396,11.493,11.488
3,3,recovery,Flexion,1,1,1,111,1,28029,28557,528,9.602,9.705
3,3,h_v,move_the_arm,1,1,1,111,1,28557,29283,726,10.007,10.087
3,3,mode_2_1,Grasp,1,1,1,111,1,29283,29514,231,12.572,12.506
3,3,drop_off,Extension,1,1,1,111,1,29514,30240,726,12.696,12.623
7,3,initial,move_the_arm,1,1,1,111,1,8720,9413,693,6.945,6.594
7,3,pick_up,Flexion,1,1,1,111,1,9413,10271,858,5.158,4.593
7,3,h_v,move_the_arm,1,1,1,111,1,10271,10865,594,8.044,7.824
7,3,mode_1_2,Grasp,1,1,1,111,1,10865,11228,363,7.608,7.337
7,3,mode_1_2,Grasp,1,3,4,134,12,11228,11393,165,9.827,9.821
7,3,rotation,Extension,1,1,1,111,1,11393,12317,924,11.667,11.881
7,3,h_v,move_the_arm,1,1,1,111,1,12317,13142,825,9.581,9.545
7,3,mode_2_1,Grasp,1,1,1,111,1,13142,13604,462,7.17,6.846
7,3,drop_off,Extension,1,1,1,111,1,13604,14660,1056,8.387,8.208
7,3,v_h,move_the_arm,1,1,1,111,1,14660,15485,825,6.897,6.54
7,3,rotation,Flexion,1,2,3,123,7,15485,15881,396,4.289,3.62
7,3,mode_1_2,Grasp,1,1,1,111,1,15881,16739,858,9.023,8.921
7,3,rotation,Flexion,1,1,1,111,1,16739,17432,693,8.053,7.835
7,3,mode_2_1,Grasp,1,1,1,111,1,17432,18422,990,7.072,6.736
7,3,recovery,Extension,1,1,1,111,1,18422,19346,924,12.037,12.296
7,3,pick_up,Flexion,1,1,1,111,1,19346,21095,1749,12.142,12.413
7,3,h_v,move_the_arm,1,1,1,111,1,21095,21557,462,12.891,13.252
7,3,mode_1_2,Grasp,1,1,1,111,1,21557,22085,528,6.28,5.849
7,3,rotation,Flexion,1,3,1,131,9,21986,22118,132,7.94,7.707
7,3,rotation,Extension,1,1,1,111,1,22118,23075,957,7.619,7.348
7,3,h_v,move_the_arm,1,1,1,111,1,23075,24362,1287,5.958,5.488
7,3,mode_2_1,Grasp,1,1,1,111,1,24362,24956,594,10.671,10.766
7,3,drop_off,Extension,1,1,1,111,1,24956,26045,1089,7.355,7.052
7,3,v_h,move_the_arm,1,1,1,111,1,26045,27101,1056,10.274,10.321
7,3,rotation,Flexion,1,3,1,131,9,27101,28256,1155,7.326,7.021
7,3,mode_2_1,Grasp,1,1,1,111,1,28256,29246,990,4.04,3.34
7,3,mode_2_1,Grasp,1,3,3,133,11,28652,28949,297,8.47,8.301
7,3,mode_2_1,Grasp,1,3,2,132,10,28949,29114,165,6.839,6.475
7,3,recovery,Extension,1,1,1,111,1,29114,29708,594,8.514,8.35
7,3,v_h,move_the_arm,1,1,1,111,1,29708,30698,990,7.041,6.701
7,3,pick_up,Flexion,1,1,1,111,1,30698,31655,957,8.341,8.157
7,3,h_v,move_the_arm,1,1,1,111,1,31655,32348,693,4.193,3.512
7,3,mode_1_2,Grasp,1,1,1,111,1,32216,32678,462,6.645,6.258
7,3,rotation,Flexion,1,3,3,133,11,32513,32810,297,10.257,10.302
7,3,recovery,Extension,1,1,1,111,1,32810,33965,1155,10.151,10.184
7,3,h_v,move_the_arm,1,1,1,111,1,33965,34823,858,6.615,6.224
7,3,mode_2_1,Grasp,1,1,1,111,1,34823,35582,759,2.904,2.069
7,3,drop_off,Extension,1,1,1,111,1,35582,36506,924,11.865,12.103
7,5,initial,move_the_arm,1,1,1,111,1,8984,9050,66,8.41,8.234
7,5,pick_up,Flexion,1,1,1,111,1,9050,10073,1023,13.496,13.929
7,5,h_v,move_the_arm,1,1,1,111,1,10073,10700,627,10.204,10.243
7,5,mode_1_2,Grasp,1,1,1,111,1,10700,11261,561,9.283,9.211
7,5,mode_1_2,Grasp,1,3,3,133,11,11063,11261,198,6.727,6.349
7,5,recovery,Extension,1,1,1,111,1,11261,12251,990,10.383,10.444
7,5,h_v,move_the_arm,1,1,1,111,1,12251,12515,264,9.258,9.183
7,5,mode_2_1,Grasp,1,1,1,111,1,12515,13274,759,8.861,8.739
7,5,drop_off,Extension,1,1,1,111,1,13274,14198,924,3.912,3.198
7,5,v_h,move_the_arm,1,1,1,111,1,14198,15122,924,5.414,4.879
7,5,rotation,Flexion,1,1,1,111,1,15122,16706,1584,12.16,12.433
7,5,mode_2_1,Grasp,1,3,3,133,11,16706,17267,561,7.872,7.632
7,5,wait,no_gesture,1,1,1,111,1,17267,18125,858,7.08,6.745
7,5,recovery,Extension,1,1,1,111,1,18125,18752,627,11.281,11.449
7,5,v_h,move_the_arm,1,1,1,111,1,18752,19478,726,7.886,7.647
7,5,pick_up,Flexion,1,1,1,111,1,19478,20402,924,8.245,8.05
7,5,h_v,move_the_arm,1,1,1,111,1,20402,20930,528,7.98,7.752
7,5,mode_1_2,Grasp,1,3,1,131,9,20930,21920,990,6.152,5.706
7,5,h_v,move_the_arm,1,1,1,111,1,21920,22943,1023,7.409,7.114
7,5,mode_2_1,Grasp,1,1,1,111,1,22943,23636,693,8.915,8.799
7,5,drop_off,Extension,1,1,1,111,1,23636,24857,1221,9.292,9.222
7,5,v_h,move_the_arm,1,1,1,111,1,24857,25517,660,11.165,11.32
7,5,rotation,Flexion,1,3,3,133,11,25517,26243,726,9.021,8.918
7,5,v_h,move_the_arm,1,1,1,111,1,26243,26672,429,5.413,4.878
7,5,mode_1_2,Grasp,1,3,3,133,11,26672,27398,726,12.69,13.027
7,5,wait,no_gesture,1,3,4,134,12,27398,27992,594,3.61,2.859
7,5,recovery,Extension,1,1,1,111,1,27992,28685,693,6.822,6.456
7,5,mode_2_1,Grasp,1,1,1,111,1,28685,29609,924,8.73,8.592
7,5,recovery,Extension,1,1,1,111,1,29609,30368,759,9.258,9.184
7,5,v_h,move_the_arm,1,1,1,111,1,30368,31094,726,7.713,7.454
7,5,pick_up,Flexion,1,1,1,111,1,31094,31985,891,7.258,6.944
7,5,h_v,move_the_arm,1,1,1,111,1,31985,32546,561,4.066,3.37
7,5,mode_1_2,Grasp,1,3,3,133,11,32546,33239,693,6.632,6.243
7,5,recovery,Extension,1,1,1,111,1,33239,34130,891,6.845,6.482
7,5,h_v,move_the_arm,1,1,1,111,1,34130,34856,726,12.015,12.271
7,5,mode_2_1,Grasp,1,1,1,111,1,34856,35516,660,8.424,8.249
