config,pcps,blink,perf,tct_cycle,nC,nP,nM,tct_CPM,mem_load,training,TLX_raw,cluster_2,cluster_3,cluster_4,hist_4
DC,0.137101521,0,11,3.809,8,2,7,6.4,1.7,3,57.66666667,1,3,4,3
DC,0.116023472,15.5,13,3.809,8,2,7,5.4,1.9,3,63,1,2,4,3
DC,0.158179571,0.5,10,3.809,8,2,7,5.4,1.9,3,57.66666667,1,3,4,3
PR,0.195177175,18,16,2.853,2,1,5,4.2,0,8,60,1,2,4,3
PR,0.116802183,15.5,18,2.853,2,1,5,4.2,0,8,62.5,1,2,4,3
PR,0.154686914,20,20,2.853,2,1,5,4.2,0,8,65.16666667,1,2,3,3
PR,0.1320473,9.5,13,5.055,2,1,5,4.2,0,10,61.66666667,1,2,4,3
PR,0.0910576,8.5,14,5.055,2,1,5,4.2,0,10,65.66666667,1,2,3,3
PR,0.1164088,9.5,12,5.055,2,1,5,4.2,0,10,72.33333333,1,2,3,3
PR,0.10451652,1.5,11,3.65,2,1,5,4.2,0,3,38,2,3,1,2
PR,0.08322868,0,13,3.65,2,1,5,4.2,0,3,45,2,3,1,2
PR,0.06952235,4,11,3.65,2,1,5,4.2,0,3,46.33333333,2,3,1,2
DC,0.2863913,4.5,6,4.748,8,2,7,6.4,1.7,5,54.5,2,3,4,3
DC,0.1861552,4,7,4.748,8,2,7,5.4,1.9,5,63.5,1,2,4,3
DC,0.1141404,4,11,4.748,8,2,7,5.4,1.9,5,61.83333333,1,2,4,3
PR,0.37608967,15,8,6.1,2,1,5,4.2,0,5,42.83333333,2,3,1,2
PR,0.396688105,13,11,6.1,2,1,5,4.2,0,5,32.83333333,2,1,1,2
PR,0.366072198,23,11,6.1,2,1,5,4.2,0,5,38.5,2,3,1,2
PR,0.004735095,5.5,7,4.129,2,1,5,4.2,0,12,20.16666667,2,1,1,1
PR,0.141075466,6,13,4.129,2,1,5,4.2,0,12,12.16666667,2,1,1,1
PR,0.056650862,9,10,4.129,2,1,5,4.2,0,12,18.16666667,2,1,1,1
DC,0.3970572,4.5,8,8.136,8,2,7,6.4,1.7,6,59.5,1,2,4,3
DC,0.3911671,5.5,7,8.136,8,2,7,5.4,1.9,6,56.16666667,2,3,4,3
DC,0.422663,6,5,8.136,8,2,7,5.4,1.9,6,62.5,1,2,4,3
CC,0.26803479,3.5,7,2.963,2,1,5,4.2,0,7,52.16666667,2,3,4,2
CC,0.11569147,3,5,2.963,2,1,5,4.2,0,7,53.16666667,2,3,4,3
CC,0.15651651,7,9,2.963,2,1,5,4.2,0,7,54.83333333,2,3,4,3
PR,0.11688648,1.5,11,3.749,2,1,5,4.2,0,5,77.16666667,1,2,2,4
PR,0.09507559,2.5,11,3.749,2,1,5,4.2,0,5,74.16666667,1,2,3,3
PR,0.08553514,1,14,3.749,2,1,5,4.2,0,5,84.16666667,1,2,2,4
CC,0.212146255,3.5,7,4.462,2,1,5,4.2,0,8,63.16666667,1,2,4,3
CC,0.037653776,5.5,6,4.462,2,1,5,4.2,0,8,65.83333333,1,2,3,3
CC,0.09664401,3.5,9,4.462,2,1,5,4.2,0,8,71.5,1,2,3,3
CC,0.11489128,16,10,5.443,2,1,5,4.2,0,5,42.66666667,2,3,1,2
CC,0.11834204,13,11,5.443,2,1,5,4.2,0,5,44.5,2,3,1,2
CC,0.09185293,14,5,5.443,2,1,5,4.2,0,5,39.16666667,2,3,1,2
CC,0.086025884,3.5,10,3.913,2,1,5,4.2,0,4,62.83333333,1,2,4,3
CC,0.107203019,3.5,14,3.913,2,1,5,4.2,0,4,61.83333333,1,2,4,3
CC,0.128380153,1.5,10,3.913,2,1,5,4.2,0,4,66.16666667,1,2,3,3
DC,0.081530354,6,3,9.048,8,2,7,6.4,1.7,8,70.66666667,1,2,3,3
DC,0.168163412,7,6,9.048,8,2,7,5.4,1.9,8,70,1,2,3,3
DC,0.052553762,0,1,9.048,8,2,7,5.4,1.9,8,80,1,2,2,4
PR,0.099531036,2,5,7.515,2,1,5,4.2,0,12,51.83333333,2,3,4,2
PR,0.100163924,1,5,7.515,2,1,5,4.2,0,12,59.16666667,1,2,4,3
PR,0.098898149,2,3,7.515,2,1,5,4.2,0,12,44.5,2,3,1,2
PR,0.135214853,3,15,3.864,2,1,5,4.2,0,4,59.5,1,2,4,3
PR,0.059836627,1.5,12,3.864,2,1,5,4.2,0,4,69.5,1,2,3,3
PR,0.090974367,3,16,3.864,2,1,5,4.2,0,4,63.83333333,1,2,4,3
DC,0.30354126,2,5,5.746,8,2,7,6.4,1.7,9,71.16666667,1,2,3,3
DC,0.18527201,5.5,10,5.746,8,2,7,5.4,1.9,9,58.5,1,3,4,3
