pcpt,config,task,trial,PCPS,BR,perf_CRT,TCT_cycle,nC,nP,nM,TCT_CPM,ML,NT,CW_G4,CW_G3,nt_MT,nt_Phy,nt_Tem,nt_Pf,nt_Eff,nt_Frs
p3,DC,CRT,1,0.95,0.16,0.47,0.92,0.79,0,0.81,0.71,0.6,0.57,moderate,high,0.56,0.48,0.45,0.55,0.51,0.26
p3,DC,CRT,2,0.73,0.18,0.59,0.92,0.92,0,0.81,0.71,0.6,0.64,high,high,0.52,0.51,0.81,0.46,0.51,0.28
p3,DC,CRT,3,0.84,0.19,0.41,0.92,0.92,0,0.81,0.71,0.6,0.57,moderate,high,0.45,0.51,0.72,0.55,0.47,0.26
p4,PR,CRT,1,0.74,0.62,0.76,0.02,0.31,0.44,0.42,0.23,0,0.6,high,high,0.32,0.55,0.42,0.76,0.49,0.41
p4,PR,CRT,2,0.72,0.55,0.88,0.02,0.31,0.44,0.42,0.23,0,0.63,high,high,0.32,0.64,0.79,0.67,0.42,0.35
p4,PR,CRT,3,0.72,0.67,1,0.02,0.31,0.44,0.42,0.23,0,0.67,high,high,0.39,0.57,0.79,0.76,0.42,0.35
p5,PR,CRT,1,0.47,0.39,0.59,0.29,0.41,0.88,0.33,0.46,0,0.62,high,high,0.5,0.67,0.52,0.76,0.67,0.51
p5,PR,CRT,2,0.42,0.36,0.65,0.29,0.31,0.44,0.42,0.23,0,0.67,high,high,0.54,0.64,0.47,0.67,0.65,0.63
p5,PR,CRT,3,0.45,0.39,0.53,0.29,0.31,0.44,0.42,0.23,0,0.76,high,high,0.61,0.75,0.42,0.76,0.71,0.7
p6,PR,CRT,1,0.44,0.17,0.47,0.24,0.41,0.88,0.33,0.46,0,0.33,very low,low,0.56,0.37,0.27,0.28,0.36,0.59
p6,PR,CRT,2,0.41,0.16,0.59,0.24,0.41,0.88,0.33,0.46,0,0.41,very low,low,0.52,0.37,0.27,0.6,0.22,0.28
p6,PR,CRT,3,0.39,0.16,0.47,0.24,0.31,0.44,0.42,0.23,0,0.43,very low,low,0.48,0.37,0.27,0.46,0.47,0.42
p7,DC,CRT,1,0.55,0.25,0.18,0.44,1.02,0,1,1,0.77,0.53,moderate,moderate,0.54,0.53,0.56,0.26,0.56,0.66
p7,DC,CRT,2,0.32,0.24,0.23,0.44,0.92,0,0.81,0.71,0.6,0.65,high,high,0.54,0.6,0.7,0.53,0.53,0.49
p7,DC,CRT,3,0.4,0.24,0.47,0.44,0.92,0,0.81,0.71,0.6,0.63,high,high,0.5,0.49,0.74,0.76,0.38,0.41
p9,PR,CRT,1,0.77,0.54,0.29,0.49,0.31,0.44,0.42,0.23,0,0.39,very low,low,0.21,0.24,0.29,0.4,0.42,0.52
p9,PR,CRT,2,0.73,0.48,0.47,0.49,0.31,0.44,0.42,0.23,0,0.26,very low,low,0.14,0.24,0.29,0.3,0.27,0.46
p9,PR,CRT,3,0.76,0.75,0.47,0.49,0.31,0.44,0.42,0.23,0,0.33,very low,low,0.21,0.21,0.42,0.4,0.38,0.44
p10,PR,CRT,1,0.3,0.28,0.23,0.16,0.31,0.44,0.42,0.23,0,0.1,very low,low,0.18,0.42,0.2,0.35,0.31,0.3
p10,PR,CRT,2,0.48,0.29,0.59,0.16,0.31,0.44,0.42,0.23,0,0,very low,low,0.1,0.46,0.24,0.21,0.2,0.24
p10,PR,CRT,3,0.37,0.37,0.41,0.16,0.31,0.44,0.42,0.23,0,0.08,very low,low,0.14,0.53,0.29,0.3,0.2,0.3
p11,DC,CRT,1,0.83,0.24,0.29,0.64,1.02,0,1,1,0.77,0.6,high,high,0.18,0.57,0.79,0.4,0.67,0.58
p11,DC,CRT,2,0.82,0.26,0.23,0.64,0.92,0,0.81,0.71,0.6,0.55,moderate,moderate,0.25,0.46,0.74,0.53,0.53,0.52
p11,DC,CRT,3,0.86,0.28,0.12,0.64,0.92,0,0.81,0.71,0.6,0.63,high,high,0.25,0.57,0.79,0.53,0.6,0.58
p12,CC,CRT,1,0.57,0.21,0.23,0.54,0.31,0.44,0.42,0.23,0,0.5,low,moderate,0.61,0.57,0.52,0.4,0.6,0.55
p12,CC,CRT,2,0.57,0.19,0.12,0.54,0.31,0.44,0.42,0.23,0,0.52,low,moderate,0.68,0.71,0.7,0.17,0.6,0.49
p12,CC,CRT,3,0.58,0.3,0.35,0.54,0.31,0.44,0.42,0.23,0,0.54,moderate,moderate,0.5,0.53,0.52,0.58,0.53,0.41
p13,PR,CRT,1,0.45,0.17,0.47,0.1,0.31,0.44,0.42,0.23,0,0.82,high,high,0.68,0.57,0.79,0.71,0.67,0.49
p13,PR,CRT,2,0.42,0.19,0.47,0.1,0.31,0.44,0.42,0.23,0,0.78,high,high,0.65,0.71,0.79,0.58,0.64,0.58
p13,PR,CRT,3,0.41,0.15,0.65,0.1,0.31,0.44,0.42,0.23,0,0.91,high,high,0.61,0.71,0.79,0.85,0.67,0.49
p14,DC,CRT,1,0.62,0.55,0.55,0.56,0.95,0,0.82,0.79,0.8,0.41,moderate,high,0.43,0.56,0.44,0.39,0.46,0.38
p14,DC,CRT,2,0.87,0.35,0.43,0.62,1.05,0,0.79,0.72,0.77,0.49,high,high,0.09,0.62,0.69,0.72,0.5,0.46
p14,DC,CRT,3,0.62,0.5,0.48,0.82,0.98,0,0.8,0.71,0.7,0.68,very low,low,0.56,0.24,0.53,0.34,0.57,0.33
p15,DC,CRT,1,0,0.25,0.38,0.17,0.95,0,0.79,0.67,0.82,0.55,low,low,0.32,0.57,0.67,0.86,0.5,0.49
p15,DC,CRT,2,0.9,0.22,0.1,0.89,1.03,0,0.8,0.74,0.67,0.48,low,moderate,0.2,0.53,0.93,0.56,0.49,0.83
p15,DC,CRT,3,0.57,0.35,0.09,0.4,0.92,0,0.89,0.77,0.69,0.61,low,moderate,0.08,0.43,0.19,0.45,0.46,0.21
p16,DC,CRT,1,0.6,0.3,0.05,0.38,0.91,0,0.85,0.79,0.68,0.41,low,moderate,0.5,0.25,0.17,0.57,0.45,0.49
p16,DC,CRT,2,0.74,0.35,0.22,0.68,1,0,0.78,0.63,0.65,0.32,very low,low,0.39,0.43,0.79,0.67,0.49,0.34
p16,DC,CRT,3,0.92,0.18,0.51,0.25,0.95,0,0.8,0.6,0.78,0.65,high,high,0.67,0.3,0.43,0.28,0.38,0.51
p17,DC,CRT,1,0.77,0.24,0.13,0.84,0.93,0,0.91,0.67,0.64,0.6,moderate,moderate,0.43,0.67,0.52,0.55,0.41,0.63
p17,DC,CRT,2,0.75,0.32,0.54,0.47,1.04,0,0.94,0.82,0.53,0.44,high,high,0.27,0.28,0.44,0.58,0.47,0.57
p17,DC,CRT,3,0.66,0.34,0.27,0.71,0.92,0,0.75,0.74,0.75,0.49,moderate,high,0.29,0.42,0.66,0.4,0.5,0.62
p18,DC,CRT,1,0.73,0.54,0.44,0.65,1.06,0,0.87,0.76,0.79,0.54,high,high,0.49,0.32,0.6,0.49,0.54,0.51
p18,DC,CRT,2,0.74,0.18,0.46,0.6,1.02,0,0.86,0.76,0.82,0.52,very low,low,0.4,0.38,0.47,0.58,0.52,0.55
