pcpt,conf,trial,pcps,blink,perf,tct_cycle,nC,nP,nM,tct_CPM,mem_load,cw_group_4,cw_group_3
p3,DC,1,0.938731538,0.177777778,0.526315789,1,0.857142857,0,0.714285714,0.622641509,0.78125,Low,Moderate
p3,DC,2,0.924637959,0.155555556,0.631578947,1,0.857142857,0,0.714285714,0.622641509,0.78125,Moderate,Moderate
p3,DC,3,1,0.155555556,0.473684211,1,0.857142857,0,0.714285714,0.622641509,0.78125,Low,Moderate
p4,PR,1,0.777352029,0.777777778,0.789473684,0.050468781,0,0.5,0.142857143,0,0,Low,Moderate
p4,PR,2,0.752849956,0.666666667,0.894736842,0.050468781,0,0.5,0.142857143,0,0,Moderate,Moderate
p4,PR,3,0.755900482,0.866666667,1,0.050468781,0,0.5,0.142857143,0,0,Moderate,High
p5,PR,1,0.304627194,0.4,0.631578947,0.34171155,0.142857143,1,0,0.301886792,0,Moderate,Moderate
p5,PR,2,0.206548795,0.355555556,0.684210526,0.34171155,0,0.5,0.142857143,0,0,Moderate,High
p5,PR,3,0.267208061,0.4,0.578947368,0.34171155,0,0.5,0.142857143,0,0,High,High
p6,PR,1,0.238752722,0.044444444,0.526315789,0.285258328,0.142857143,1,0,0.301886792,0,Very low,Low
p6,PR,2,0.18781609,0.666666667,0.631578947,0.285258328,0.142857143,1,0,0.301886792,0,Very low,Low
p6,PR,3,0.15502017,0.666666667,0.526315789,0.285258328,0,0.5,0.142857143,0,0,Very low,Low
p7,DC,1,0.443307572,0.177777778,0.263157895,0.490724117,1,0,1,1,1,Low,Low
p7,DC,2,0.03003654,0.155555556,0.315789474,0.490724117,0.857142857,0,0.714285714,0.622641509,0.78125,Moderate,Moderate
p7,DC,3,0.182904023,0.155555556,0.526315789,0.490724117,0.857142857,0,0.714285714,0.622641509,0.78125,Moderate,Moderate
p9,PR,1,0.833224345,0.644444444,0.368421053,0.544584081,0,0.5,0.142857143,0,0,Very low,Low
p9,PR,2,0.771238535,0.555555556,0.526315789,0.544584081,0,0.5,0.142857143,0,0,Very low,Low
p9,PR,3,0.819383441,1,0.526315789,0.544584081,0,0.5,0.142857143,0,0,Very low,Low
p10,PR,1,0,0.222222222,0.315789474,0.199481348,0,0.5,0.142857143,0,0,Very low,Low
p10,PR,2,0.326229403,0.244444444,0.631578947,0.199481348,0,0.5,0.142857143,0,0,Very low,Low
p10,PR,3,0.124221825,0.377777778,0.473684211,0.199481348,0,0.5,0.142857143,0,0,Very low,Low
p11,DC,1,0.938731538,0.155555556,0.368421053,0.708158787,1,0,1,1,1,Low,Moderate
p11,DC,2,0.924637959,0.2,0.315789474,0.708158787,0.857142857,0,0.714285714,0.622641509,0.78125,Low,Moderate
p11,DC,3,1,0.222222222,0.210526316,0.708158787,0.857142857,0,0.714285714,0.622641509,0.78125,Moderate,Moderate
p12,CC,1,0.479987849,0.111111111,0.315789474,0.600438859,0,0.5,0.142857143,0,0,Low,Low
p12,CC,2,0.485850506,0.088888889,0.210526316,0.600438859,0,0.5,0.142857143,0,0,Low,Low
p12,CC,3,0.492244364,0.266666667,0.421052632,0.600438859,0,0.5,0.142857143,0,0,Low,Moderate
p13,PR,1,0.268351033,0.044444444,0.526315789,0.135647317,0,0.5,0.142857143,0,0,High,High
p13,PR,2,0.216162869,0.088888889,0.526315789,0.135647317,0,0.5,0.142857143,0,0,High,High
p13,PR,3,0.193334889,0.022222222,0.684210526,0.135647317,0,0.5,0.142857143,0,0,High,High
p14,CC,1,0.495411798,0.133333333,0.315789474,0.04588071,0,0.5,0.142857143,0,0,Moderate,Moderate
p14,CC,2,0.078019019,0.222222222,0.263157895,0.04588071,0.142857143,1,0,0.301886792,0,Moderate,High
p14,CC,3,0.219126299,0.133333333,0.421052632,0.04588071,0,0.5,0.142857143,0,0,High,High
p16,CC,1,0.263577004,0.688888889,0.473684211,0.127069619,0,0.5,0.142857143,0,0,Very low,Low
p16,CC,2,0.271833835,0.555555556,0.526315789,0.127069619,0.142857143,1,0,0.301886792,0,Very low,Low
p16,CC,3,0.208451826,0.6,0.210526316,0.127069619,0,0.5,0.142857143,0,0,Very low,Low
p17,CC,1,0.291326575,0.133333333,0.473684211,0,0.142857143,1,0,0.301886792,0,Moderate,Moderate
p17,CC,2,0.148679794,0.133333333,0.684210526,0,0.142857143,1,0,0.301886792,0,Moderate,Moderate
p17,CC,3,0.396446117,0.044444444,0.473684211,0,0.142857143,1,0,0.301886792,0,Moderate,High
p18,DC,1,0.183752408,0.244444444,0.105263158,0.564532216,0.857142857,0,0.714285714,0.622641509,0.78125,High,High
p18,DC,2,0.391044281,0.288888889,0.263157895,0.564532216,0.857142857,0,0.714285714,0.622641509,0.78125,High,High
p18,DC,3,0.114418459,0.066666667,0,0.564532216,0.857142857,0,0.714285714,0.622641509,0.78125,High,High
p19,PR,1,0.012347134,0.066666667,0.210526316,0.047875524,0,0.5,0.142857143,0,0,Very low,Low
p19,PR,2,0.106212089,0.022222222,0.210526316,0.047875524,0,0.5,0.142857143,0,0,Low,Moderate
p19,PR,3,0.543451005,0.066666667,0.105263158,0.047875524,0,0.5,0.142857143,0,0,Very low,Low
p20,PR,1,0.312206372,0.111111111,0.736842105,0.051865151,0,0.5,0.142857143,0,0,Low,Moderate
p20,PR,2,0.131844594,0.044444444,0.578947368,0.051865151,0.142857143,1,0,0.301886792,0,High,High
p20,PR,3,0.218477742,0.111111111,0.789473684,0.051865151,0,0.5,0.142857143,0,0,Moderate,High
p21,DC,1,0.7149706,0.066666667,0.210526316,0.333133852,0.857142857,0,0.714285714,0.622641509,0.78125,High,High
p21,DC,2,0.431981002,0.222222222,0.473684211,0.333133852,0.857142857,0,0.714285714,0.622641509,0.78125,Low,Moderate
p21,DC,3,0.662231217,0.155555556,0.421052632,0.333133852,1,0,1,1,1,Moderate,Moderate
p22,DC,1,0.681960218,0.022222222,0.473684211,0.323359266,0.857142857,0,0.714285714,0.622641509,0.78125,High,High
p22,DC,2,0.596888128,0.066666667,0.315789474,0.323359266,0.857142857,0,0.714285714,0.811320755,0.78125,High,High
p22,DC,3,0.847289929,0.133333333,0.210526316,0.323359266,0.857142857,0,0.714285714,0.811320755,0.78125,High,High
