pcpt,conf,trial,pcps,blink,perf,tct_cycle,nC,nP,nM,tct_CPM,mem_load,cw_group_4,cw_group_3
p3,DC,1,1.95,-0.48,0.48,2.78,1.48,-1.30,1.37,1.15,1.45,Low,Moderate
p3,DC,2,1.90,-0.57,1.04,2.78,1.48,-1.30,1.37,1.15,1.45,Moderate,Moderate
p3,DC,3,2.18,-0.57,0.20,2.78,1.48,-1.30,1.37,1.15,1.45,Low,Moderate
p4,PR,1,1.35,1.83,1.88,-1.00,-0.74,0.12,-0.48,-0.86,-0.63,Low,Moderate
p4,PR,2,1.26,1.40,2.43,-1.00,-0.74,0.12,-0.48,-0.86,-0.63,Moderate,Moderate
p4,PR,3,1.28,2.17,2.99,-1.00,-0.74,0.12,-0.48,-0.86,-0.63,Moderate,High
p5,PR,1,-0.39,0.37,1.04,0.16,-0.37,1.53,-0.94,0.12,-0.63,Moderate,Moderate
p5,PR,2,-0.75,0.20,1.32,0.16,-0.74,0.12,-0.48,-0.86,-0.63,Moderate,High
p5,PR,3,-0.53,0.37,0.76,0.16,-0.74,0.12,-0.48,-0.86,-0.63,High,High
p6,PR,1,-0.63,-1.00,0.48,-0.06,-0.37,1.53,-0.94,0.12,-0.63,Very low,Low
p6,PR,2,-0.82,1.40,1.04,-0.06,-0.37,1.53,-0.94,0.12,-0.63,Very low,Low
p6,PR,3,-0.94,1.40,0.48,-0.06,-0.74,0.12,-0.48,-0.86,-0.63,Very low,Low
p7,DC,1,0.12,-0.48,-0.91,0.76,1.84,-1.30,2.29,2.37,2.04,Low,Low
p7,DC,2,-1.41,-0.57,-0.63,0.76,1.48,-1.30,1.37,1.15,1.45,Moderate,Moderate
p7,DC,3,-0.84,-0.57,0.48,0.76,1.48,-1.30,1.37,1.15,1.45,Moderate,Moderate
p9,PR,1,1.56,1.32,-0.35,0.97,-0.74,0.12,-0.48,-0.86,-0.63,Very low,Low
p9,PR,2,1.33,0.97,0.48,0.97,-0.74,0.12,-0.48,-0.86,-0.63,Very low,Low
p9,PR,3,1.51,2.69,0.48,0.97,-0.74,0.12,-0.48,-0.86,-0.63,Very low,Low
p10,PR,1,-1.52,-0.31,-0.63,-0.40,-0.74,0.12,-0.48,-0.86,-0.63,Very low,Low
p10,PR,2,-0.31,-0.23,1.04,-0.40,-0.74,0.12,-0.48,-0.86,-0.63,Very low,Low
p10,PR,3,-1.06,0.29,0.20,-0.40,-0.74,0.12,-0.48,-0.86,-0.63,Very low,Low
p11,DC,1,1.95,-0.57,-0.35,1.62,1.84,-1.30,2.29,2.37,2.04,Low,Moderate
p11,DC,2,1.90,-0.40,-0.63,1.62,1.48,-1.30,1.37,1.15,1.45,Low,Moderate
p11,DC,3,2.18,-0.31,-1.19,1.62,1.48,-1.30,1.37,1.15,1.45,Moderate,Moderate
